file_nm,cik,entity_name
CIK0000743870.json,743870,RANCON REALTY FUND IV
CIK0000815097.json,815097,Carnival Corporation
CIK0001466739.json,1466739,NEXT GALAXY CORP.
CIK0001841661.json,1841661,AF ACQUISITION CORP.
CIK0001831099.json,0001831099,
CIK0001438569.json,1438569,Grifols SA
CIK0000013156.json,13156,"Galaxy Gaming, Inc."
CIK0000014693.json,14693,BROWN-FORMAN CORPORATION
CIK0001757932.json,1757932,"ROMEO POWER, INC."
CIK0001069308.json,1069308,Acer Therapeutics Inc.
CIK0001475115.json,1475115,"EVENTBRITE, INC."
CIK0001135657.json,1135657,"ECO-STIM ENERGY SOLUTIONS, INC."
CIK0000891478.json,891478,"Banco Santander, S.A."
CIK0001086303.json,1086303,Heyu Biological Technology Corp
CIK0001390778.json,1390778,"VERDE SCIENCE, INC."
CIK0001535469.json,1535469,"NOHO, INC."
CIK0000311094.json,311094,WESTAMERICA BANCORPORATION
CIK0001344970.json,1344970,UNITED COMMUNITY BANCORP
CIK0001438139.json,1438139,ONE XL CORP
CIK0001764301.json,1764301,SC Health Corp
CIK0001757898.json,1757898,STERIS plc
CIK0001423325.json,1423325,"INCOMING, INC."
CIK0001383154.json,1383154,"COPSYNC, INC."
CIK0001408075.json,1408075,Graphic Packaging Holding Co
CIK0000350832.json,350832,AMERICAN PACIFIC CORP
CIK0001691936.json,1691936,"STRYVE FOODS, INC."
CIK0001743971.json,1743971,MOGU Inc.
CIK0001402478.json,1402478,"VANGENT, INC."
CIK0000005981.json,5981,AMERICAN VANGUARD CORPORATION
CIK0001534628.json,1534628,INFINITY REAL ESTATE HOLDINGS CORP
CIK0001854463.json,1854463,WINVEST ACQUISITION CORP.
CIK0001504764.json,1504764,GRUPO AVAL ACCIONES Y VALORES S.A.
CIK0001585023.json,1585023,"COASTWAY BANCORP, INC."
CIK0001043219.json,1043219,ANNALY CAPITAL MANAGEMENT INC
CIK0000039047.json,39047,FRISCHS RESTAURANTS INC
CIK0001593548.json,1593548,"PLAYAGS, INC."
CIK0001799788.json,1799788,"GREENWICH LIFESCIENCES, INC."
CIK0001362004.json,1362004,"ICF International, Inc."
CIK0000040888.json,40888,"Aerojet Rocketdyne Holdings, Inc."
CIK0001845337.json,1845337,"DAY ONE BIOPHARMACEUTICALS, INC."
CIK0000050471.json,50471,PARK CITY GROUP INC
CIK0001397951.json,1397951,"CYBERGY HOLDINGS, INC."
CIK0001269879.json,1269879,"DEWMAR INTERNATIONAL BMC, INC."
CIK0001001085.json,1001085,BROOKFIELD ASSET MANAGEMENT INC.
CIK0001487239.json,1487239,"BIGELOW INCOME PROPERTIES, LLC"
CIK0001689813.json,1689813,Biohaven Pharmaceutical Holding Company Ltd.
CIK0001782594.json,1782594,Genetron Holdings Ltd
CIK0001854526.json,0001854526,"brooqLy, Inc."
CIK0001606219.json,1606219,NW CRESTVALLEY INC
CIK0001571371.json,1571371,"SUMMIT MATERIALS, LLC"
CIK0001439397.json,1439397,"NORTHSIGHT CAPITAL, INC."
CIK0001460602.json,1460602,ORGENESIS INC.
CIK0001768267.json,1768267,CERENCE INC.
CIK0001694688.json,1694688,Xplosion Incorporated
CIK0001709774.json,1709774,BILLION HOLDING INC.
CIK0001310291.json,1310291,"SMARTPAY EXPRESS, INC."
CIK0001668105.json,1668105,Talend S.A.
CIK0001173488.json,0001173488,
CIK0000010795.json,10795,"Becton, Dickinson and Company"
CIK0000949874.json,949874,YOUNG INNOVATIONS INC
CIK0001779476.json,1779476,36Kr Holdings Inc.
CIK0001867246.json,0001867246,
CIK0001590364.json,1590364,FORTRESS TRANSPORTATION AND INFRASTRUCTURE INVESTORS LLC
CIK0001795251.json,1795251,NANO-X IMAGING LTD
CIK0001000694.json,1000694,"NOVAVAX, INC."
CIK0001841724.json,0001841724,
CIK0001784440.json,1784440,NOWTRANSIT INC.
CIK0000783284.json,783284,INTEGRATED FREIGHT CORP
CIK0001678105.json,1678105,CARO HOLDINGS INC.
CIK0001040570.json,1040570,"GEOEYE, INC."
CIK0000944745.json,944745,"Civista Bancshares, Inc."
CIK0001713683.json,1713683,"ZSCALER, INC."
CIK0001537511.json,1537511,"PROGRESSIVE GREEN SOLUTIONS, INC."
CIK0001684688.json,1684688,JUPITER GOLD CORPORATION
CIK0001644343.json,0001644343,
CIK0001704795.json,1704795,"BANTEC, INC."
CIK0001039280.json,1039280,"NETSOL TECHNOLOGIES, INC."
CIK0001712641.json,1712641,Biofrontera AG
CIK0001791091.json,1791091,"SOC TELEMED, INC."
CIK0001119807.json,1119807,TRAILBLAZER RESOURCES INC.
CIK0001543083.json,1543083,"NEW GLOBAL ENERGY, INC."
CIK0001861541.json,1861541,PEGASUS DIGITAL MOBILITY ACQUISITION CORP.
CIK0001707910.json,1707910,CAPAX INC.
CIK0001618084.json,1618084,"OPC RESIDENTIAL PROPERTIES TRUST, INC."
CIK0001515319.json,1515319,"NATIONAL WASTE MANAGEMENT HOLDINGS, INC."
CIK0001570649.json,1570649,MEDICUS HOMECARE INC.
CIK0001635650.json,1635650,GREEN PLAINS PARTNERS LP
CIK0001177648.json,1177648,"ENANTA PHARMACEUTICALS, INC"
CIK0001634942.json,1634942,BROKE OUT INC.
CIK0001567925.json,1567925,"SILA REALTY TRUST, INC."
CIK0000918251.json,918251,MOTORCAR PARTS AMERICA INC
CIK0001526183.json,1526183,NUDG MEDIA INC.
CIK0001799858.json,1799858,wShares Enhanced Gold ETF
CIK0001445235.json,1445235,HYBRID COATING TECHNOLOGIES INC.
CIK0001129048.json,1129048,"WEEDHIRE INTERNATIONAL, INC."
CIK0000081251.json,0000081251,
CIK0001032423.json,0001032423,
CIK0001868275.json,0001868275,CONSTELLATION ENERGY CORPORATION
CIK0000775368.json,775368,ALLEGHANY CORP /DE
CIK0000717954.json,717954,UNIFIRST CORPORATION
CIK0000810016.json,0000810016,
CIK0001747748.json,1747748,QUALTRICS INTERNATIONAL INC.
CIK0001308137.json,1308137,"BLACKSANDS PETROLEUM, INC."
CIK0001723059.json,1723059,BIO ESSENCE CORP.
